      Max     Freq    Phase   Integral
      16.2   2006.0   310.0     24.9
      16.1   2006.0   232.0     22.5
      15.4   2006.0   184.0     22.0
      14.6   2006.0   196.0     21.8
      14.3   2006.0   131.0     20.5
      13.5   2006.0   130.0     19.6
      12.4   2006.0   132.0     18.7
      10.8   2006.0   103.0     18.4
       9.6   2006.0   121.0     18.7
