Wavelength,Transmission,Wavelength,Transmission,Wavelength,Transmission,Wavelength,Transmission,Wavelength,Transmission
nm,normalized,nm,normalized,nm,normalized,nm,normalized,nm,normalized
KG1,KG1,KG2,KG2,KG3,KG3,KG4,KG4,KG5,KG5
914.1509434,0.060493827,864.1509434,0.31605,,,,,,
972.6415094,0.027160494,883.9622642,0.27037,,,,,,
1018.867925,0.014814815,883.9622642,0.27037,,,,,,
1061.320755,0.009876543,901.8867925,0.23951,,,,,,
1094.339623,0.008641975,922.6415094,0.20494,,,,,,
,,922.6415094,0.20494,,,,,,
,,950,0.16914,,,,,,
,,970.754717,0.14815,,,,,,
,,970.754717,0.14815,,,,,,
,,998.1132075,0.12469,,,,,,
,,1036.792453,0.10123,,,,,,
,,1075.471698,0.08765,,,,,,
