Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
925	0,82524216	2,1530523029621E+017
927	0,90059036	2,15935248546477E+017
928	0,4664412	2,16915217319625E+017
936	0,47361723	2,18030354226583E+017
938	0,7427179	2,19081838610139E+017
942	1,0405227	2,21794027887002E+017
949	0,8682983	2,24488684084925E+017
955	0,9221184	2,26482373102339E+017
958	0,60996157	2,27070339925933E+017
959	0,4269731	2,27688349523433E+017
964	0,33727288	2,28506217685717E+017
969	0,51308537	2,29256611950868E+017
970	0,64584166	2,29729375399653E+017
972	0,69607383	2,31090934212134E+017
978	0,7929501	2,33431877036158E+017
984	1,6791884	2,36757012617949E+017
986	0,8682983	2,3826455230167E+017
991	0,44491315	2,39151838509871E+017
994	0,7893621	2,40336075855733E+017
997	1,8370608	2,43100437040113E+017
1000	0,55972946	2,43663637504575E+017
1001	0,86112225	2,45615127122654E+017
1009	0,4592652	2,47130511845803E+017
1014	0,54537743	2,48243395978754E+017
1017	0,86112225	2,49565184151639E+017
1020	0,6530177	2,50570496975573E+017
1023	0,43773714	2,51133724514671E+017
1025	0,29421678	2,51513027407776E+017
1028	0,2655127	2,52062306727423E+017
1033	0,27986473	2,52934985847108E+017
1040	0,3085688	2,54065141427953E+017
1047	0,2655127	2,54764430639614E+017
1050	0,3085688	2,55253440265941E+017
1053	0,36597696	2,55932026435544E+017
1057	0,5166733	2,57443179788433E+017
1064	0,38032898	2,58257538752167E+017
1065	0,31574482	2,58511303881635E+017
1067	0,27268872	2,58950448627061E+017
1071	0,2655127	2,59522703638094E+017
1075	0,3013928	2,60419221341701E+017
1082	0,3516249	2,61280560594566E+017
1084	0,4664412	2,61916507762965E+017
1087	0,5740815	2,62701378157331E+017
1089	0,767834	2,63963412916552E+017
1093	0,50949734	2,65224164260479E+017
1098	0,3085688	2,65735528612581E+017
1099	0,39468104	2,66281083948819E+017
1103	0,25833666	2,66997864809211E+017
1109	0,383917	2,67747572173447E+017
1110	0,5669055	2,6822244765982E+017
1112	0,89700234	2,70982490962413E+017
1121	0,52384937	2,72755121113344E+017
1124	0,3444489	2,73242072901715E+017
1126	0,33727288	2,73719728270352E+017
1129	0,25116065	2,74361695555896E+017
1135	0,24398464	2,75336934938611E+017
1143	0,2296326	2,76195252450286E+017
1148	0,24398464	2,76970288505977E+017
1154	0,24398464	2,77961853481883E+017
1162	0,25116065	2,78842828959653E+017
1166	0,31574482	2,79676322314469E+017
1171	0,33727288	2,80371764775697E+017
1173	0,48438126	2,81086393052241E+017
1176	0,74630594	2,82411040532823E+017
1179	1,155339	2,84809575898029E+017
1183	0,81089014	2,86257423536455E+017
1185	0,6817218	2,87273485945331E+017
1188	0,5633175	2,88283542710172E+017
1191	0,48079327	2,89003762404863E+017
1193	0,4520892	2,89410777651528E+017
1194	0,35521293	2,90050909139519E+017
1199	0,27986473	2,90979415505243E+017
1205	0,2296326	2,91745079319581E+017
1210	0,19375251	2,92393788793091E+017
1216	0,21528056	2,93118151231439E+017
1221	0,20810454	2,93629493923128E+017
1224	0,24398464	2,94230472150664E+017
1229	0,2655127	2,94887149469581E+017
1232	0,2296326	2,95385307503142E+017
1236	0,21528056	2,96121583797383E+017
1243	0,17940047	2,9685081107377E+017
1249	0,18657649	2,97847347380068E+017
1260	0,20092852	2,98611567071627E+017
1261	0,39468104	2,9948793048436E+017
1267	0,8180661	3,02355952915528E+017
1272	0,4520892	3,03368544074038E+017
1274	0,31215683	3,03968774999361E+017
1278	0,20810454	3,04771595589015E+017
1286	0,16504844	3,05679261784598E+017
1295	0,13634436	3,06523150917776E+017
1305	0,13634436	3,07149765608414E+017
1309	0,13634436	3,07778300957108E+017
1319	0,13634436	3,08502114664346E+017
1325	0,14352037	3,09076145889537E+017
1331	0,14352037	3,09652776501408E+017
1337	0,14352037	3,10425083166143E+017
1347	0,1506964	3,11242070462047E+017
1353	0,1506964	3,11857540290198E+017
1359	0,17222445	3,1250517750411E+017
1364	0,2750807	3,13449019589885E+017
1369	0,5023213	3,14832904190076E+017
1372	0,33727288	3,15531316089653E+017
1375	0,26192468	3,15893695871247E+017
1376	0,17940047	3,16079985257776E+017
1378	0,1148163	3,1647798025444E+017
1386	0,064584166	3,16815738058572E+017
1393	0,078936204	3,17147658078169E+017
1398	0,09328824	3,17475722336996E+017
1403	0,09328824	3,17772036170774E+017
1407	0,12199232	3,18160628250803E+017
1412	0,16146041	3,18562071015673E+017
1414	0,21886857	3,18795620499627E+017
1415	0,24398464	3,19056154872165E+017
1417	0,27268872	3,19542149955162E+017
1420	0,25833666	3,20095819305166E+017
1423	0,28704074	3,20712307179465E+017
1426	0,31574482	3,21278612460563E+017
1428	0,2296326	3,2152607408113E+017
1429	0,2655127	3,21907844581021E+017
1432	0,19375251	3,22675573478597E+017
1440	0,2296326	3,2350737724521E+017
1442	0,18657649	3,23845766863654E+017
1445	0,16504844	3,24265721285405E+017
1449	0,14352037	3,24684222540903E+017
1453	0,13634436	3,25182564711399E+017
1459	0,13634436	3,25632924727972E+017
1462	0,14352037	3,26055180653118E+017
1467	0,18298848	3,26662925409411E+017
1471	0,33009687	3,27395800864496E+017
1473	0,55972946	3,28432793719688E+017
1476	0,8826503	3,31054535198019E+017
1481	0,5059093	3,32185382117534E+017
1482	0,36597696	3,32594688061104E+017
1484	0,27986473	3,3322153017805E+017
1488	0,22245657	3,33970933346135E+017
1493	0,17940047	3,34712074478638E+017
1499	0,14352037	3,35307370130975E+017
1504	0,1506964	3,35934515538522E+017
1510	0,12916833	3,36621403452788E+017
1518	0,1148163	3,37322891295965E+017
1526	0,12916833	3,38264973991623E+017
1537	0,13634436	3,39002986849487E+017
1540	0,2296326	3,39358814016316E+017
1541	0,33009687	3,39870647724127E+017
1544	0,41620907	3,41487177406761E+017
1551	0,25116065	3,42565083504454E+017
1555	0,15787241	3,43120864879556E+017
1560	0,12916833	3,43627745270405E+017
1565	0,10046426	3,44221001132156E+017
1575	0,10764028	3,44988632528954E+017
1583	0,10046426	3,45548706497351E+017
1589	0,10764028	3,46108034954624E+017
1596	0,1148163	3,46753376043555E+017
1603	0,1148163	3,47170057742893E+017
1605	0,16504844	3,47703148674705E+017
1611	0,20092852	3,48354554983225E+017
1613	0,13634436	3,4868648585219E+017
1617	0,10764028	3,4908053663588E+017
1622	0,08611222	3,49537292188078E+017
1630	0,08611222	3,50031608876932E+017
1636	0,09328824	3,50453915343445E+017
1641	0,09328824	3,5080049481688E+017
1645	0,09328824	3,51070713696736E+017
1648	0,09328824	3,51496117765693E+017
1656	0,08611222	3,51962447725274E+017
1661	0,08611222	3,52466165529069E+017
1670	0,10764028	3,52963569012638E+017
1672	0,16504844	3,53310659370111E+017
1675	0,2296326	3,54181453938285E+017
1681	0,16504844	3,54809579538549E+017
1684	0,1148163	3,55344591100103E+017
1692	0,08611222	3,55857710018839E+017
1698	0,08611222	3,56262304546202E+017
1703	0,08611222	3,56631200830653E+017
1708	0,078936204	3,57004263365241E+017
1714	0,078936204	3,57412670338385E+017
1720	0,078936204	3,57822506974211E+017
1726	0,08611222	3,58345936793206E+017
1734	0,1148163	3,59147241088377E+017
1742	0,071760185	3,59650366821349E+017
1750	0,071760185	3,60092623582896E+017
1756	0,071760185	3,60473000500418E+017
1762	0,071760185	3,60759257958565E+017
1765	0,071760185	3,61014142263587E+017
1770	0,071760185	3,61365601004294E+017
1776	0,064584166	3,61682986115478E+017
1781	0,064584166	3,62145936879621E+017
1792	0,064584166	3,62728199491458E+017
1801	0,064584166	3,63079311644556E+017
1804	0,064584166	3,6340170057506E+017
1812	0,064584166	3,63725519168228E+017
1815	0,05740815	3,63961413517666E+017
1821	0,05740815	3,64250681942129E+017
1826	0,05740815	3,6454074462366E+017
1832	0,05740815	3,64831760413674E+017
1837	0,05740815	3,6507051408856E+017
1841	0,05740815	3,65362959541297E+017
1848	0,05740815	3,65736578066468E+017
1855	0,04305611	3,66017853360279E+017
1862	0,04305611	3,6621952243886E+017
1865	0,05023213	3,66431616147901E+017
1871	0,035880093	3,66718694944035E+017
1882	0,064584166	3,67330200655796E+017
1891	0,05023213	3,67736407177366E+017
1899	0,04305611	3,68065489523425E+017
1907	0,035880093	3,68254820548246E+017
1910	0,05023213	3,68399628049325E+017
1913	0,05023213	3,68617180470449E+017
1919	0,04305611	3,68908160140974E+017
1927	0,04305611	3,6926296558379E+017
1936	0,04305611	3,69556522979379E+017
1941	0,028704075	3,69696673249431E+017
1946	0,05023213	3,69893389058925E+017
1949	0,04305611	3,70104480914003E+017
1956	0,035880093	3,70369293435729E+017
1964	0,035880093	3,70599736288651E+017
1969	0,035880093	3,70830765808713E+017
1977	0,035880093	3,71080577702931E+017
1983	0,035880093	3,71295352030368E+017
1989	0,035880093	3,71492824189974E+017
1994	0,035880093	3,71618804189233E+017
1996	0,03576075	3,71690625279613E+017
1998	0,03576075	3,71762518335013E+017
2000	0,03564918	3,71816323707524E+017
2001	0	3,71816323707524E+017
