Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
387	0,65	6558775289849640
387,5	0,64	6621159765372290
388	0,634	6683039127883440
388,5	0,63	6744607322667900
389	0,683	6811440968426710
389,5	0,758	6885708931885510
390	0,795	6963702103804040
390,5	0,801	7042384649332130
391	0,849	7125889036872550
391,5	0,861	7210681990847900
392	0,793	7288877912311880
392,5	0,661	7354140752194070
393	0,478	7401395483100650
393,5	0,38	7439009800136540
394	0,494	7487970545208420
394,5	0,682	7555649903091050
395	0,805	7635636611172960
395,5	0,858	7720997439960780
396	0,754	7796106336087610
396,5	0,549	7850863429051550
397	0,425	7893306254182830
397,5	0,628	7956100756701860
398	0,85	8041200224723270
398,5	1	8141443021077200
399	1,07	8248837392588830
399,5	1,1	8359381173913130
400	1,11	8526913676727980
401	1,16	8760935956035350
402	1,2	9003631689842800
403	1,16	9,23882116256318E+015
404	1,18	9,47865928491121E+015
405	1,15	9,71297839357792E+015
406	1,12	9,94174830252677E+015
407	1,1	1,01669864452001E+016
408	1,15	1,0403041250968E+016
409	1,23	1,06561360743646E+016
410	1,05	1,08727208865622E+016
411	1,17	1,11146468764378E+016
412	1,24	1,13716709155911E+016
413	1,19	1,16189297719227E+016
414	1,18	1,18647044814575E+016
415	1,22	1,21194243198214E+016
416	1,26	1,23831295350629E+016
417	1,23	1,26411748684526E+016
418	1,17	1,28872212523163E+016
419	1,22	1,31443962216523E+016
420	1,12	1,33810547481512E+016
421	1,27	1,36500475507938E+016
422	1,25	1,39154331220696E+016
423	1,21	1,41729351068015E+016
424	1,21	1,44310458432704E+016
425	1,25	1,46983180418301E+016
426	1,21	1,49576462817729E+016
427	1,17	1,520899031505E+016
428	1,18	1,54630762466464E+016
429	1,09	1,56983311224459E+016
430	0,872	1,58869737268167E+016
431	0,792	1,60587081259183E+016
432	1,32	1,63455962172251E+016
433	1,23	1,66135425706009E+016
434	1,13	1,6860273171293E+016
435	1,24	1,71316456398165E+016
436	1,36	1,74299641769609E+016
437	1,39	1,77355625799183E+016
438	1,22	1,80043994213722E+016
439	1,17	1,82628069872004E+016
440	1,35	1,85616487489783E+016
441	1,33	1,88567323492065E+016
442	1,42	1,91724984154729E+016
443	1,44	1,94934363560003E+016
444	1,4	1,9806163694588E+016
445	1,46	2,01330281602902E+016
446	1,31	2,04269697221358E+016
447	1,49	2,07620498207838E+016
448	1,5	2,11001334300678E+016
449	1,5	2,14389716902654E+016
450	1,56	2,1792148317821E+016
451	1,61	2,21574547010609E+016
452	1,54	2,2507652973011E+016
453	1,43	2,28335565165498E+016
454	1,53	2,31830202616106E+016
455	1,52	2,35309646428321E+016
456	1,57	2,38911444308657E+016
457	1,58	2,4254413256639E+016
458	1,55	2,46115643790061E+016
459	1,53	2,49648768437262E+016
460	1,52	2,53166447895765E+016
461	1,58	2,56830932111989E+016
462	1,59	2,60526608565975E+016
463	1,6	2,64253577877844E+016
464	1,55	2,67871877458158E+016
465	1,53	2,71451186741269E+016
466	1,56	2,75108526928845E+016
467	1,49	2,78609251896823E+016
468	1,56	2,82282288823402E+016
469	1,56	2,85963174119481E+016
470	1,5	2,89510033413309E+016
471	1,53	2,93135527332332E+016
472	1,61	2,96958689480652E+016
473	1,55	3,00647171595929E+016
474	1,56	3,04367298739515E+016
475	1,61	3,08214760647252E+016
476	1,56	3,1195058452984E+016
477	1,57	3,15718254680982E+016
478	1,62	3,19614064557249E+016
479	1,59	3,23445729105862E+016
480	1,61	3,27333690612629E+016
481	1,61	3,31229752039201E+016
482	1,62	3,35158162834935E+016
483	1,6	3,39046124341701E+016
484	1,57	3,42869085249777E+016
485	1,56	3,46675544457877E+016
486	1,27	3,49780782037077E+016
487	1,42	3,53259923988927E+016
488	1,54	3,57040825686086E+016
489	1,45	3,60608060554581E+016
490	1,62	3,64601673189248E+016
491	1,56	3,68455222614355E+016
492	1,48	3,7211860000924E+016
493	1,59	3,76062254753428E+016
494	1,55	3,79914496116952E+016
495	1,64	3,83998666861249E+016
496	1,56	3,87891458133862E+016
497	1,59	3,91867110076786E+016
498	1,55	3,95750543678071E+016
499	1,55	3,99641775338796E+016
500	1,54	4,03515650028509E+016
501	1,49	4,07271245765033E+016
502	1,49	4,11034337700632E+016
503	1,56	4,14982067559754E+016
504	1,45	4,18658726810717E+016
505	1,56	4,22622153408842E+016
506	1,62	4,26746169721376E+016
507	1,55	4,30699785857623E+016
508	1,51	4,34558970009552E+016
509	1,58	4,38605005727683E+016
510	1,54	4,4255635791119E+016
511	1,57	4,46592583167444E+016
512	1,61	4,50739742107995E+016
513	1,52	4,54662719417151E+016
514	1,48	4,58489906370343E+016
515	1,53	4,62454087619381E+016
516	1,54	4,66451926299165E+016
517	1,26	4,69729224286662E+016
518	1,44	4,73481952349714E+016
519	1,39	4,77111370453488E+016
520	1,52	4,81087877667447E+016
521	1,53	4,85098243552396E+016
522	1,56	4,89195092432042E+016
523	1,47	4,93062980224507E+016
524	1,59	4,97254613258898E+016
525	1,57	5,01401420029022E+016
526	1,53	5,05450273110563E+016
527	1,34	5,09003068991578E+016
528	1,53	5,13067316951757E+016
529	1,6	5,17325560506786E+016
530	1,54	5,21431867677882E+016
531	1,62	5,25759639737083E+016
532	1,6	5,30042032121347E+016
533	1,42	5,3384979939103E+016
534	1,53	5,3796023198712E+016
535	1,55	5,42132193787697E+016
536	1,62	5,46500716996231E+016
537	1,49	5,50526175899451E+016
538	1,57	5,54775665503883E+016
539	1,53	5,58924585296566E+016
540	1,48	5,62945365364122E+016
541	1,42	5,66810284862994E+016
542	1,55	5,71036833079653E+016
543	1,52	5,75189224266538E+016
544	1,57	5,79486105948343E+016
545	1,54	5,83708629360129E+016
546	1,52	5,87883961934787E+016
547	1,54	5,92121980845333E+016
548	1,5	5,96257467851753E+016
549	1,55	6,00538602484495E+016
550	1,54	6,04799864643179E+016
551	1,53	6,09041153707683E+016
552	1,57	6,13401224825986E+016
553	1,52	6,17630087305446E+016
554	1,55	6,2195021223539E+016
555	1,56	6,26306057308576E+016
556	1,53	6,30585833569673E+016
557	1,49	6,34761216454391E+016
558	1,53	6,39056387594126E+016
559	1,44	6,43106146256763E+016
560	1,47	6,47247670470493E+016
561	1,56	6,51650605760686E+016
562	1,48	6,5583519538655E+016
563	1,54	6,60197178287167E+016
564	1,51	6,64481784314111E+016
565	1,52	6,68802412344663E+016
566	1,43	6,72874408054221E+016
567	1,53	6,77238856147822E+016
568	1,51	6,81553849451553E+016
569	1,48	6,85790560300515E+016
570	1,48	6,90034717038491E+016
571	1,43	6,94142684441597E+016
572	1,51	6,98488065022114E+016
573	1,52	7,02869870086728E+016
574	1,51	7,07230444305639E+016
575	1,47	7,11482902203664E+016
576	1,46	7,15713777085561E+016
