      Max     Freq    Phase   Integral
       2.5   2010.0   168.0     11.8
       1.8   2004.0   214.0      9.4
       1.6   2004.0   254.0      8.1
       1.4   2004.0   297.0      7.6
       1.3   2004.0   298.0      7.3
       1.2   2004.0   283.0      7.1
       1.1   2010.7   122.0      7.9
       1.2   2010.0   120.0      8.2
       1.3   2010.0   143.0      8.3
